R_2AMACHYD	10691
R_r1043	11001 or 16484
R_r1044	11001 or 16484
R_r1045	11002 or 16484
R_r1059	14679
R_r1064	
R_r1143	18044
R_r1144	18044
R_r1147	10979
R_r1150	
R_r1155	10922 or 10928
R_r1401	
R_r1427	22921
R_r1454	10922 or 10928
R_r1495	10905
R_r1497	10905
R_r1498	10905
R_r1499	10905
R_r1500	10905
R_r1501	10905
R_r1502	10905
R_r1503	10905
R_r1514	29
R_r1515	29
R_r1516	29
R_r1517	29
R_r1518	29
R_r1519	29
R_r1520	29
R_r1521	29
R_r1522	29
R_r1523	29
R_r1525	29
R_r1526	29
R_r1527	29
R_r1529	29
R_r1530	56
R_r1531	56
R_r1532	56
R_r1533	56
R_r1536	55
R_r1538	18168
R_r1544	11063
R_r1546	11063
R_r1547	11063
R_r1548	11063
R_r1549	11063
R_r1551	11063
R_r1552	11063
R_r1553	11063
R_r1554	11063
R_r1556	11063
R_r1557	11063
R_r1559	11063
R_r1560	11063
R_r1561	11063
R_r1562	11063
R_r1563	11063
R_r1564	11063
R_r1565	11063
R_r1566	11063
R_r1567	11063
R_r1568	11063
R_r1569	11063
R_r1570	11063
R_r1571	11063
R_r1573	11063
R_r1574	11063
R_r1575	11063
R_r1576	11063
R_r1578	11063
R_r1579	11063
R_r1580	11063
R_r1581	11063
R_r1583	11063
R_r1584	11063
R_r1585	11063
R_r1586	11063
R_r1587	11063
R_r1588	11063
R_r1589	11063
R_r1590	11063
R_r1591	11063
R_r1592	11063
R_r1593	11063
R_r1594	11063
R_r1595	11063
R_r1596	11063
R_r1597	11063
R_r1598	11063
R_r1599	11063
R_r1600	11063
R_r1602	11063
R_r1603	11063
R_r1604	11063
R_r1605	11063
R_r1606	11063
R_r1607	11063
R_r1608	11063
R_r1609	11063
R_r1610	11063
R_r1611	11063
R_r1612	11063
R_r1613	11063
R_r1614	11063
R_r1615	11063
R_r1616	11063
R_r1617	11063
R_r1621	11063
R_r1625	11063
R_r1627	11063
R_r1628	11063
R_r1629	11063
R_r1630	11063
R_r1631	11063
R_r1632	11063
R_r1633	11063
R_r1634	11063
R_r1664	11064
R_r1665	11064
R_r1666	11064
R_r1667	11064
R_r1668	11064
R_r1669	11064
R_r1670	11064
R_r1671	11064
R_r1672	11064
R_r1673	11064
R_r1674	11064
R_r1675	11064
R_r1676	11064
R_r1677	11064
R_r1678	11064
R_r1679	11064
R_r1680	11064
R_r1681	11064
R_r1682	11064
R_r1683	11064
R_r1684	11064
R_r1685	11064
R_r1686	11064
R_r1687	11064
R_r1690	11064
R_r1691	11064
R_r1692	11064
R_r1693	11064
R_r1695	11064
R_r1696	11064
R_r1698	11064
R_r1700	11064
R_r1701	11064
R_r1702	11064
R_r1705	11064
R_r1706	11064
R_r1707	11064
R_r1708	11064
R_r1710	11064
R_r1711	11064
R_r1713	11064
R_r1715	11064
R_r1716	11064
R_r1717	11064
R_r1720	11064
R_r1721	11064
R_r1722	11064
R_r1723	11064
R_r1725	11064
R_r1726	11064
R_r1728	11064
R_r1730	11064
R_r1731	11064
R_r1732	11064
R_r1733	11064
R_r1734	11064
R_r1735	11064
R_r1736	11064
R_r1737	11064
R_r1738	11064
R_r1739	11064
R_r1740	11064
R_r1741	11064
R_r1742	11064
R_r1743	11064
R_r1744	11064
R_r1745	11064
R_r1746	11064
R_r1747	11064
R_r1748	11064
R_r1749	11064
R_r1750	11064
R_r1751	11064
R_r1752	11064
R_r1753	11064
R_r1754	11064
R_r1755	11064
R_r1756	11064
R_r1757	11064
R_r1758	11064
R_r1759	11064
R_r1760	11064
R_r1761	11064
R_r1992	11067
R_r1993	11067
R_r1994	11067
R_r1995	11067
R_r1996	11067
R_r1997	11067
R_r1998	11067
R_r1999	11067
R_r2000	11067
R_r2001	11067
R_r2002	11067
R_r2003	11067
R_r2004	11067
R_r2005	11067
R_r2006	11067
R_r2007	11067
R_r2008	11067
R_r2009	11067
R_r2010	11067
R_r2011	11067
R_r2012	11067
R_r2013	11067
R_r2014	11067
R_r2015	11067
R_r2016	11067
R_r2017	11067
R_r2018	11067
R_r2019	11067
R_r2020	11067
R_r2021	11067
R_r2022	11067
R_r2023	11067
R_r2024	11067
R_r2026	11067
R_r2027	11067
R_r2028	11067
R_r2029	11067
R_r2030	11067
R_r2031	11067
R_r2032	11067
R_r2034	11067
R_r2035	11067
R_r2036	11067
R_r2037	11067
R_r2038	11067
R_r2039	11067
R_r2040	11067
R_r2041	11067
R_r2042	11067
R_r2043	11067
R_r2044	11067
R_r2045	11067
R_r2046	11067
R_r2047	11067
R_r2048	11067
R_r2049	11067
R_r2050	11067
R_r2051	11067
R_r2052	11067
R_r2053	11067
R_r2054	11067
R_r2055	11067
R_r2056	11067
R_r2057	11067
R_r2058	11067
R_r2059	11067
R_r2060	11067
R_r2061	11067
R_r2062	11067
R_r2063	11067
R_r2064	11067
R_r2065	11067
R_r2066	11067
R_r2067	11067
R_r2068	11067
R_r2069	11067
R_r2070	11067
R_r2071	11067
R_r2073	
R_r2079	10922
R_r2080	10922
R_r2081	10922
R_r2082	10922
R_r2083	10922
R_r2084	10922
R_r2085	10922
R_r2086	10922
R_r2087	10922
R_r2088	10922
R_r2089	10922
R_r2090	10922
R_r2091	10922
R_r2092	10922
R_r2093	10922
R_r2094	10922
R_r2095	10922
R_r2096	10922
R_r2097	10922
R_r2098	10922
R_r2099	10922
R_r2100	10922
R_r2101	10922
R_r2102	10922
